developer_name, country, rate, date, hours_worked, software_stack,
Yasmine Elliott Cole,Nigeria,USD 25,05-2023,78,Frontend,null
Otho Harper Stamm,Sweden,USD 24,05-2023,65,Backend,null
Marcella Reagan Bechtelar,Brazil,USD 26,05-2023,98,Frontend,null
Chanelle Kendall Harris,Nigeria,USD 20,05-2023,118,Backend,null
Enoch Rory Larson,Peru,USD 24,05-2023,67,Frontend,null
Fausto Marlowe Streich,Brazil,USD 22,05-2023,115,Backend,null
Else Quinn Breitenberg,Peru,USD 27,05-2023,121,Data Engineer,null
Collin Gray Breitenberg,Peru,USD 33,05-2023,72,Data Engineer,null
Ellsworth Taylor O'Hara,Peru,USD 21,05-2023,93,Frontend,null
Ole Nico Parker,Uruguay,USD 20,05-2023,93,Frontend,null
Greta Charlie Hilpert,Uruguay,USD 20,05-2023,109,Frontend,null
Palma Arden Emmerich,Uruguay,USD 20,05-2023,118,Backend,null
Victor Reese Gulgowski,Uruguay,USD 24,05-2023,73,Frontend,null
Liliane Kendall Schulist,Armenia,USD 23,05-2023,69,Frontend,null
Karson London Quigley,Brazil,USD 18,05-2023,102,DevOps,null
Mittie Shawn Daniel,Uganda,USD 27,05-2023,119,Frontend,null
Arden Bailey Gerhold,Peru,USD 20,05-2023,121,Backend,null
Myrtis Harper Kuhlman-Pouros,Georgia,USD 33,05-2023,120,Data Engineer,null
Henriette August Kassulke,Georgia,USD 25,05-2023,114,Frontend,null
Roman Gray Hoppe,Uruguay,USD 21,05-2023,66,Backend,null
Luz Micah Krajcik,Senegal,USD 15,05-2023,108,DevOps,null
Jazmin London Herzog,Brazil,USD 30,05-2023,119,Data Engineer,null
Brycen Sage Ullrich-Friesen,Turkey,USD 20,05-2023,106,DevOps,null
Luigi Drew Stroman,Brazil,USD 23,05-2023,102,Frontend,null
Zena Arden Fritsch,Sweden,USD 27,05-2023,110,Data Engineer,null
Roel Jamie Schiller,Argentina,USD 27,05-2023,81,Data Engineer,null
Brycen Ellis Hodkiewicz,Colombia,USD 33,05-2023,121,Data Engineer,null
Estel Blake Ferry,Turkey,USD 33,05-2023,72,Data Engineer,null
Soledad Kyle Yost,Uruguay,USD 22,05-2023,88,Backend,null
Terry Emerson Waters,Sweden,USD 30,05-2023,81,Data Engineer,null
Madilyn Robin Schmeler,Uganda,USD 36,05-2023,69,Data Engineer,null
Enid Micah Marvin,Uruguay,USD 17,05-2023,86,DevOps,null
Elza Avery Bechtelar-Huel,Brazil,USD 18,05-2023,72,Backend,null
Elmira Dakota Toy,Brazil,USD 33,05-2023,104,Data Engineer,null
Wilma Anderson Bins,Portugal,USD 19,05-2023,118,Backend,null
Malachi Sasha Denesik,Argentina,USD 33,05-2023,65,Data Engineer,null
Vanessa Micah Yundt,Uruguay,USD 31,05-2023,103,Data Engineer,null
Marilyne Greer Wehner,Uruguay,USD 27,05-2023,74,Frontend,null
Isaac Avery Hilpert,Uruguay,USD 18,05-2023,100,Backend,null
Damian Jaden Langosh,Colombia,USD 24,05-2023,84,Frontend,null
Daisha Emerson Murray,Turkey,USD 28,05-2023,107,Data Engineer,null
Jasen Angel Greenfelder,Brazil,USD 18,05-2023,121,DevOps,null
Isom Angel Schaefer,Sweden,USD 16,05-2023,107,DevOps,null
Dessie Shiloh Batz,Sweden,USD 36,05-2023,111,Data Engineer,null
Shane Shawn Kuhic,Turkey,USD 20,05-2023,117,Frontend,null
Serenity Taylor Kessler,Armenia,USD 23,05-2023,77,Frontend,null
Dan Addison Hammes,Turkey,USD 36,05-2023,87,Data Engineer,null
Amya Noah Howell,Brazil,USD 27,05-2023,97,Data Engineer,null
Murphy Sage Von,Zimbabwe,USD 27,05-2023,121,Frontend,null
Rollin Logan Spinka,Ivory Coast,USD 24,05-2023,106,Backend,null
Jermaine Finley Corkery,Brazil,USD 27,05-2023,104,Data Engineer,null
Teresa Charlie Grady,Georgia,USD 16,05-2023,78,DevOps,null
Aracely North Schuster,Brazil,USD 27,05-2023,73,Data Engineer,null
Vince London Homenick,Ivory Coast,USD 31,05-2023,121,Data Engineer,null
Isaac Emerson Beer,Colombia,USD 28,05-2023,104,Data Engineer,null
Carmen North Brown,Sweden,USD 17,05-2023,66,DevOps,null
Bryce Bailey Weber,Colombia,USD 21,05-2023,77,Frontend,null
Sidney Sasha Beatty,Armenia,USD 28,05-2023,121,Data Engineer,null
Greg Hayden Balistreri-Waters,Georgia,USD 26,05-2023,77,Frontend,null
Estefania Hayden O'Hara,Nigeria,USD 36,05-2023,69,Data Engineer,null
Carmine Phoenix Nienow,Turkey,USD 33,05-2023,109,Data Engineer,null
London Jules Jakubowski,Turkey,USD 20,05-2023,85,Frontend,null
Stephen Shawn Franecki,Georgia,USD 25,05-2023,74,Frontend,null
Summer Sage Vandervort-Wunsch,Kenya,USD 33,05-2023,86,Data Engineer,null
Violet Alex Carter,Peru,USD 28,05-2023,94,Data Engineer,null
Sandrine Dakota Sauer,Turkey,USD 20,05-2023,102,Backend,null
Mia Marlowe Koepp,Uruguay,USD 30,05-2023,89,Data Engineer,null
Howell Dakota Marvin,Uruguay,USD 18,05-2023,118,Backend,null
Monica Harper D'Amore,Uruguay,USD 20,05-2023,94,Frontend,null
Kaitlyn Drew Ruecker,Nigeria,USD 21,06-2023,150,Frontend,null
Mikayla Charlie Shanahan,Nigeria,USD 27,06-2023,119,Data Engineer,null
Krystel Sage Kessler,Turkey,USD 17,06-2023,123,DevOps,null
Harmon Ryan Sanford,Argentina,USD 22,06-2023,105,Backend,null
Tracy Blake Paucek,Brazil,USD 23,06-2023,97,Frontend,null
Monty Alex Nikolaus,Armenia,USD 20,06-2023,168,Frontend,null
Jodie Dakota Huel,Uganda,USD 28,06-2023,134,Data Engineer,null
Chet Reagan Cummerata,Colombia,USD 20,06-2023,144,Backend,null
Tracey Reign Hartmann,Brazil,USD 17,06-2023,113,DevOps,null
Kiley Finley Buckridge,Brazil,USD 20,06-2023,168,Frontend,null
Eunice Charlie White,Turkey,USD 24,06-2023,175,Frontend,null
Jerrold Elliott Cruickshank,Georgia,USD 26,06-2023,163,Frontend,null
Arvilla Bowie Brakus-Lebsack,Chile,USD 25,06-2023,115,Frontend,null
Cletus Anderson Hane,Chile,USD 15,06-2023,134,DevOps,null
Ethyl Billie Kiehn,Brazil,USD 19,06-2023,161,Backend,null
Braeden Parker Kuhn,Brazil,USD 23,06-2023,119,Backend,null
Olga Rowan Trantow,Brazil,USD 20,06-2023,119,DevOps,null
Daphne Gray Bogan,Georgia,USD 27,06-2023,152,Frontend,null
Addie Jamie Gleason,Sweden,USD 30,06-2023,171,Data Engineer,null
Pearline Brooklyn Purdy,Nigeria,USD 25,06-2023,173,Frontend,null
Beverly Skyler Carroll,Uganda,USD 28,06-2023,118,Data Engineer,null
Imogene Addison Bogan,Ivory Coast,USD 19,06-2023,104,Backend,null
Al North Hirthe-Casper,Uruguay,USD 21,06-2023,165,Frontend,null
Orlo Marlowe O'Kon,Sweden,USD 27,06-2023,95,Data Engineer,null
Paris Sawyer Spinka,Uruguay,USD 23,06-2023,151,Frontend,null
Adan Kennedy Prohaska,Sweden,USD 24,06-2023,136,Frontend,null
Otho James Schmidt,Zimbabwe,USD 18,06-2023,97,Backend,null
Kasey Billie Johnson-Sanford,Georgia,USD 27,06-2023,101,Data Engineer,null
Serenity Shawn Mohr,Colombia,USD 24,06-2023,154,Backend,null
Lucinda Jaden Bauch,Sweden,USD 27,06-2023,89,Data Engineer,null
Krystel Rory Stanton,Brazil,USD 27,06-2023,113,Frontend,null
Donato Shawn Raynor,Peru,USD 24,06-2023,143,Frontend,null
Enrico Elliott Reilly,Georgia,USD 21,06-2023,120,Frontend,null
Kailee Taylor Rowe,Turkey,USD 24,06-2023,168,Backend,null
Jamar Jaden Hansen,Brazil,USD 21,06-2023,153,Frontend,null
Elinor Sasha Pouros,Turkey,USD 28,06-2023,166,Data Engineer,null
Berenice Reign Miller,Uruguay,USD 21,06-2023,95,Frontend,null
Deja Avery Strosin,Argentina,USD 21,06-2023,179,Frontend,null
Retta Greer Hintz,Senegal,USD 21,06-2023,108,Frontend,null
Randall Bailey Franecki,Turkey,USD 16,06-2023,99,DevOps,null
Rodolfo Reese Kerluke,Turkey,USD 21,06-2023,91,Frontend,null
Tressa Rowan Cormier,Uruguay,USD 33,06-2023,135,Data Engineer,null
Newell Kyle Miller,Brazil,USD 17,06-2023,101,DevOps,null
Adolphus Bailey Schmitt,Brazil,USD 30,06-2023,168,Data Engineer,null
Justice Kai Reichert,Uganda,USD 20,06-2023,172,Frontend,null
Brenda Quinn Schamberger,Turkey,USD 27,06-2023,120,Frontend,null
Ludwig Addison Metz,Zimbabwe,USD 17,06-2023,108,DevOps,null
Ciara Sage Nitzsche,Georgia,USD 19,06-2023,147,Backend,null
Ernesto Emerson Rolfson,Peru,USD 24,06-2023,117,Frontend,null
Wade Rowan Kuhn,Turkey,USD 34,06-2023,116,Data Engineer,null
Billie Jaden Fisher,Uruguay,USD 26,06-2023,164,Frontend,null
Dorcas Harper Senger,Colombia,USD 17,06-2023,92,DevOps,null
Deja North Hamill,Chile,USD 18,06-2023,178,DevOps,null
Roberto Reagan Hoppe,Zimbabwe,USD 30,06-2023,174,Data Engineer,null
Keon Anderson Mann,Chile,USD 28,06-2023,123,Data Engineer,null
Roslyn Leslie Mante,Turkey,USD 28,06-2023,98,Data Engineer,null
Stuart August Bayer,Uganda,USD 18,06-2023,155,Backend,null
Trevor Phoenix Cassin,Brazil,USD 30,06-2023,103,Data Engineer,null
Alanna Alex Wiza,Brazil,USD 28,06-2023,89,Data Engineer,null
Celia Bowie Hackett,Uganda,USD 21,06-2023,133,Backend,null
Dolores Robin Luettgen,Zimbabwe,USD 23,06-2023,179,Backend,null
Katrine Jules Quitzon,Turkey,USD 26,06-2023,112,Frontend,null
Lucas Dakota Schoen-Koss,Ivory Coast,USD 21,06-2023,100,Frontend,null
Dameon Alex Boyer-Mohr,Sweden,USD 26,06-2023,146,Frontend,null
Fletcher Sage Heller,Armenia,USD 20,06-2023,117,Frontend,null
Crystal Ryan Kris,Armenia,USD 33,06-2023,172,Data Engineer,null
Rodrigo Bowie Hoeger,Brazil,USD 22,06-2023,125,Backend,null
Hal Cameron Schaefer,Uruguay,USD 36,06-2023,136,Data Engineer,null
Jessica Skyler Jones,Brazil,USD 20,06-2023,152,DevOps,null
Marilie Corey Lakin,Brazil,USD 27,06-2023,117,Data Engineer,null
Jarrell Kai Stroman,Brazil,USD 26,06-2023,179,Frontend,null
Rocio Emerson Parisian,Chile,USD 15,06-2023,157,DevOps,null
Imani Reese Tromp,Brazil,USD 27,06-2023,164,Frontend,null
Izaiah Charlie Mayert,Brazil,USD 21,06-2023,160,Frontend,null
Blanca Anderson Mann,Uganda,USD 24,06-2023,147,Backend,null
Timothy Greer Turcotte,Uruguay,USD 18,06-2023,178,DevOps,null
Electa James Littel,Uruguay,USD 34,06-2023,157,Data Engineer,null
Rae Avery Bergstrom,Sweden,USD 34,06-2023,155,Data Engineer,null
Beverly Anderson Johns-Cummings,Brazil,USD 24,06-2023,109,Frontend,null
Easter Phoenix Connelly,Argentina,USD 25,06-2023,140,Frontend,null
Salvatore Drew Corkery,Armenia,USD 18,06-2023,99,DevOps,null
Emilio Leslie Hagenes,Sweden,USD 26,06-2023,109,Frontend,null
Emie Dakota Bauch,Argentina,USD 36,06-2023,120,Data Engineer,null
Alejandrin Jaden Brekke,Turkey,USD 33,06-2023,176,Data Engineer,null
Nya Leslie Collier,Senegal,USD 20,06-2023,133,Backend,null
Kailey Billie Conroy,Nigeria,USD 20,06-2023,141,Backend,null
Monserrat Blake Corkery,Uganda,USD 21,06-2023,110,Backend,null
Skylar Skyler Parisian,Ivory Coast,USD 18,06-2023,127,DevOps,null
Tiffany Ellis Hahn,Turkey,USD 21,06-2023,100,Backend,null
Muhammad Bowie Waelchi,Turkey,USD 24,06-2023,140,Frontend,null
Deron Kennedy Hodkiewicz,Colombia,USD 15,06-2023,141,DevOps,null
Everett Parker Welch,Armenia,USD 27,06-2023,92,Data Engineer,null
Letha Logan Wintheiser,Peru,USD 28,06-2023,118,Data Engineer,null
Jordi Angel Dooley,Sweden,USD 24,06-2023,162,Backend,null
Theodora Anderson Lueilwitz,Chile,USD 21,06-2023,138,Frontend,null
Margarette Addison Ebert,Peru,USD 22,06-2023,155,Backend,null
Darwin Robin Steuber,Zimbabwe,USD 31,06-2023,170,Data Engineer,null
Javier Nico Thiel,Turkey,USD 25,06-2023,165,Frontend,null
Allan Dakota Wisoky,Brazil,USD 27,06-2023,134,Data Engineer,null
Cullen Harper Boyle,Georgia,USD 28,06-2023,91,Data Engineer,null
Laron London Stiedemann,Nigeria,USD 28,06-2023,116,Data Engineer,null
Hubert Sasha Jerde,Armenia,USD 30,06-2023,97,Data Engineer,null
Shayne Kai Braun-Kuhlman,Colombia,USD 28,06-2023,123,Data Engineer,null
Karen Sawyer Walsh,Chile,USD 28,06-2023,168,Data Engineer,null
Lavonne Micah Conn,Chile,USD 15,06-2023,161,DevOps,null
Vito Marlowe Greenfelder,Uruguay,USD 17,06-2023,98,DevOps,null
Fiona Brooklyn Sporer,Nigeria,USD 17,06-2023,99,DevOps,null
Stephon Bowie Heller,Kenya,USD 28,06-2023,175,Data Engineer,null
Johann Anderson Koelpin,Georgia,USD 22,06-2023,169,Backend,null
Chasity Skyler Volkman,Uganda,USD 16,06-2023,104,DevOps,null
Franz Reagan O'Kon,Nigeria,USD 26,06-2023,176,Frontend,null
Kelly Anderson Lueilwitz,Peru,USD 24,06-2023,132,Backend,null
Sonny Sasha Conn,Turkey,USD 28,06-2023,162,Data Engineer,null
Raoul Dakota Welch,Brazil,USD 33,06-2023,133,Data Engineer,null
Rodolfo Taylor Stanton,Argentina,USD 24,06-2023,117,Frontend,null
Twila London Shanahan,Kenya,USD 19,06-2023,99,Backend,null
Hazle Jules Donnelly,Peru,USD 34,06-2023,155,Data Engineer,null
Rasheed Rory Bayer,Uganda,USD 27,06-2023,109,Frontend,null
Valentin Arden Jakubowski,Uruguay,USD 24,06-2023,97,Frontend,null
Hallie Rowan Leuschke,Uruguay,USD 24,06-2023,157,Frontend,null
Santina Cameron Schuster,Ivory Coast,USD 27,06-2023,152,Data Engineer,null
Aiyana Jamie Purdy,Armenia,USD 27,06-2023,95,Data Engineer,null
Kacey Dakota Schmidt,Peru,USD 36,06-2023,103,Data Engineer,null
Margaretta Gray Littel,Georgia,USD 24,06-2023,174,Frontend,null
Albina River Abbott,Turkey,USD 17,06-2023,134,DevOps,null
Christy North Kerluke,Turkey,USD 22,06-2023,110,Backend,null
Mckayla Reagan Kohler,Georgia,USD 23,06-2023,169,Backend,null
Eugenia Ryan Beahan,Uruguay,USD 21,06-2023,96,Frontend,null
Gianni Bowie Marquardt,Colombia,USD 19,06-2023,148,Backend,null
Michele North Kuhic,Brazil,USD 23,06-2023,156,Frontend,null
Cordell Taylor Bergnaum,Uruguay,USD 17,06-2023,175,DevOps,null
Antoinette Micah Parisian,Kenya,USD 36,06-2023,176,Data Engineer,null
Consuelo Kai Hudson,Senegal,USD 19,06-2023,95,DevOps,null
Rahul Micah Reichel,Brazil,USD 23,06-2023,96,Backend,null
Bill Kendall Satterfield,Colombia,USD 25,06-2023,155,Frontend,null
Kristina Parker Metz,Uruguay,USD 31,06-2023,173,Data Engineer,null
Addison Jamie Stehr,Brazil,USD 18,06-2023,119,Backend,null
Ahmed Reign Blanda,Uganda,USD 16,06-2023,153,DevOps,null
Diana Ryan Lehner,Peru,USD 24,06-2023,179,Backend,null
Blair Harper Greenfelder,Turkey,USD 24,06-2023,101,Frontend,null
Rogelio Quinn Littel,Armenia,USD 17,06-2023,101,DevOps,null
Seth Bowie Jenkins,Chile,USD 23,06-2023,151,Backend,null
Mercedes Kai McGlynn,Nigeria,USD 28,06-2023,99,Data Engineer,null
Kyleigh Elliott Ritchie,Brazil,USD 17,06-2023,92,DevOps,null
Jacklyn Austin Gleason,Turkey,USD 24,06-2023,176,Backend,null
Elise Kai Windler,Brazil,USD 23,06-2023,127,Frontend,null
Ulises Taylor Terry,Turkey,USD 20,06-2023,161,Backend,null
Ephraim Kyle Jones,Uruguay,USD 24,06-2023,176,Backend,null
Lolita Kai Emard,Uruguay,USD 24,06-2023,175,Backend,null
Natalia Charlie Boehm,Zimbabwe,USD 27,06-2023,91,Data Engineer,null
Kyle Skyler Mayer,Armenia,USD 18,06-2023,171,Backend,null
Zoe London Kuphal,Brazil,USD 23,06-2023,160,Backend,null
Meaghan Jules Purdy,Nigeria,USD 19,06-2023,154,Backend,null
Rolando Billie Thiel,Colombia,USD 31,06-2023,140,Data Engineer,null
Ebba Skyler Murray,Uruguay,USD 23,06-2023,124,Backend,null
Grace Noah Zulauf,Brazil,USD 30,06-2023,104,Data Engineer,null
Major Riley Leannon,Uruguay,USD 21,06-2023,109,Frontend,null
Thomas Arden Schuster,Ivory Coast,USD 25,06-2023,112,Frontend,null
Angelo Charlie Crona,Sweden,USD 28,06-2023,165,Data Engineer,null
Evie Gray Leuschke,Uruguay,USD 18,06-2023,135,Backend,null
Viviane Phoenix Armstrong,Chile,USD 18,06-2023,124,Backend,null
Estefania Rory Ledner,Uruguay,USD 20,06-2023,135,Frontend,null
Scotty Jordan Witting,Uganda,USD 19,06-2023,165,DevOps,null
Ashleigh Reese Stehr,Uganda,USD 24,06-2023,128,Frontend,null
Kelsie Gray West,Nigeria,USD 21,06-2023,108,Frontend,null
Giovanni Logan Pfeffer,Brazil,USD 20,06-2023,97,Frontend,null
Malika Nico Lynch,Uganda,USD 34,06-2023,100,Data Engineer,null
Maybell Logan Nolan,Brazil,USD 21,06-2023,148,Frontend,null
Andres Addison Mitchell,Uruguay,USD 20,06-2023,166,Frontend,null
Margarita Sage Daniel,Senegal,USD 25,06-2023,150,Frontend,null
Kiana Jamie Hoppe,Turkey,USD 27,06-2023,96,Data Engineer,null
Dolly Dakota Abshire,Sweden,USD 20,06-2023,168,Frontend,null
Lessie Bailey Metz,Zimbabwe,USD 15,06-2023,148,DevOps,null
Clair Riley Tromp,Brazil,USD 19,06-2023,100,Backend,null
General Gray Haley,Armenia,USD 27,06-2023,123,Frontend,null
Marietta Greer Upton,Brazil,USD 27,06-2023,162,Frontend,null
Vernie Rory Stiedemann,Brazil,USD 27,06-2023,140,Data Engineer,null
Osborne Dakota Schaefer,Brazil,USD 24,06-2023,146,Frontend,null
Ocie Shawn Hagenes,Brazil,USD 21,06-2023,157,Frontend,null
Jarod Brooklyn Medhurst,Uganda,USD 31,06-2023,95,Data Engineer,null
Malcolm Taylor Dare,Ivory Coast,USD 23,06-2023,123,Frontend,null
Orville Sasha Champlin,Peru,USD 27,06-2023,147,Data Engineer,null
Walton Bowie Kihn,Uruguay,USD 21,06-2023,91,Frontend,null
Jabari Arden Bechtelar,Brazil,USD 27,06-2023,157,Frontend,null
Judah Leslie Denesik,Nigeria,USD 16,06-2023,104,DevOps,null
Gavin Leslie Shanahan,Brazil,USD 34,06-2023,91,Data Engineer,null
Fermin Robin Moore,Georgia,USD 31,06-2023,91,Data Engineer,null
Ladarius Phoenix Parker,Ivory Coast,USD 21,06-2023,119,Frontend,null
Noble Logan Cartwright,Chile,USD 21,06-2023,144,Backend,null
Lily Bailey Harber,Turkey,USD 18,06-2023,135,Backend,null
Omari Logan Koch,Turkey,USD 31,06-2023,117,Data Engineer,null
Amparo Corey Schiller,Chile,USD 21,06-2023,156,Backend,null
Melany Jules Miller,Sweden,USD 36,06-2023,129,Data Engineer,null
Dion Anderson Hackett,Armenia,USD 19,06-2023,164,DevOps,null
Hazle Reese Cummerata,Turkey,USD 31,06-2023,176,Data Engineer,null
Conrad James Keeling,Turkey,USD 21,06-2023,99,Frontend,null
Keshawn River Schiller,Uganda,USD 18,06-2023,143,DevOps,null
Aaliyah Angel Cartwright,Ivory Coast,USD 19,06-2023,144,Backend,null
Elisa Anderson Gorczany,Brazil,USD 24,06-2023,171,Backend,null
Mike Emerson Walsh,Uruguay,USD 15,06-2023,147,DevOps,null
Nelle Jordan Kuhn,Brazil,USD 19,06-2023,155,DevOps,null
Braeden Rowan Jaskolski,Georgia,USD 31,06-2023,174,Data Engineer,null
Demarco Emerson Greenholt,Brazil,USD 26,06-2023,90,Frontend,null
Greg Reagan Cruickshank,Uganda,USD 31,06-2023,175,Data Engineer,null
Mallory Billie Kerluke,Uganda,USD 26,06-2023,166,Frontend,null
Hilma Jordan Bauch,Turkey,USD 28,06-2023,140,Data Engineer,null
Anibal Rowan Mann-Bernier,Brazil,USD 34,06-2023,172,Data Engineer,null
Lou River Schneider,Nigeria,USD 36,06-2023,171,Data Engineer,null
Merritt Phoenix Weber,Georgia,USD 20,06-2023,164,Frontend,null
Vernie Greer Moore,Uruguay,USD 24,06-2023,156,Frontend,null
Daren Cameron Swift,Brazil,USD 23,06-2023,164,Frontend,null
Loma Leslie Kozey,Turkey,USD 26,06-2023,122,Frontend,null
Maxie Reese Kessler,Peru,USD 20,06-2023,103,DevOps,null
Dandre Avery Batz,Brazil,USD 15,06-2023,112,DevOps,null
Kenyon August Stoltenberg,Brazil,USD 25,06-2023,151,Frontend,null
Robbie Harper Emard,Brazil,USD 20,06-2023,160,Frontend,null
Kristian Logan Steuber,Turkey,USD 24,06-2023,161,Frontend,null
Ray Reagan Rohan,Sweden,USD 26,06-2023,145,Frontend,null
Marcelle Emerson Dickinson,Turkey,USD 26,06-2023,173,Frontend,null
Deven Corey Kunde,Uganda,USD 28,06-2023,157,Data Engineer,null
Jewel Bowie McLaughlin,Turkey,USD 25,06-2023,142,Frontend,null
Savanah Ryan Leffler,Nigeria,USD 19,06-2023,136,DevOps,null
Casimir Hayden Toy,Brazil,USD 24,06-2023,94,Frontend,null
Winnifred Marlowe Bechtelar,Peru,USD 24,06-2023,153,Frontend,null
Joesph Cameron Jakubowski,Peru,USD 16,06-2023,148,DevOps,null
Kobe Phoenix Spencer,Peru,USD 20,06-2023,135,Backend,null
Armand Elliott Stokes,Colombia,USD 25,06-2023,147,Frontend,null
Wilhelmine Greer Paucek,Brazil,USD 27,06-2023,178,Frontend,null
Ashlynn Arden Wilderman,Colombia,USD 26,06-2023,112,Frontend,null
Americo Bailey Goyette,Turkey,USD 21,06-2023,134,Frontend,null
Dusty Sasha Johns,Colombia,USD 20,06-2023,141,DevOps,null
Juliet Nico Zemlak,Turkey,USD 17,06-2023,131,DevOps,null
Ronny Emerson Mills,Armenia,USD 18,06-2023,108,Backend,null
Lavon Kai Davis,Peru,USD 34,06-2023,153,Data Engineer,null
Emely Harper Nicolas,Turkey,USD 18,06-2023,134,DevOps,null
Athena Jamie Koch,Zimbabwe,USD 24,06-2023,100,Frontend,null
Marquise Reagan Kohler-Erdman,Sweden,USD 19,06-2023,118,DevOps,null
Cade Avery Watsica-Mayer,Peru,USD 21,06-2023,179,Backend,null
Cyrus Sawyer Schaden,Peru,USD 27,06-2023,108,Frontend,null
Davonte Micah Jakubowski,Chile,USD 18,06-2023,95,Backend,null
Meta Jamie Nitzsche,Sweden,USD 30,06-2023,164,Data Engineer,null
Clarabelle London Bradtke,Brazil,USD 28,06-2023,90,Data Engineer,null
Kirstin August Franecki,Georgia,USD 20,06-2023,97,Frontend,null
Nickolas August Marquardt,Armenia,USD 21,06-2023,162,Backend,null
Zita Robin Kshlerin,Brazil,USD 31,06-2023,178,Data Engineer,null
Florence Riley Wilderman,Turkey,USD 36,06-2023,159,Data Engineer,null
Sigrid Hayden Russel,Sweden,USD 36,06-2023,109,Data Engineer,null
Kory Robin Thompson,Turkey,USD 30,06-2023,129,Data Engineer,null
Donato Finley Zieme,Georgia,USD 24,06-2023,169,Frontend,null
Emelie Rowan Labadie,Peru,USD 16,06-2023,89,DevOps,null
Ahmed River Paucek,Brazil,USD 27,06-2023,161,Frontend,null
Collin Hayden Conn,Sweden,USD 18,06-2023,153,DevOps,null
Rashad River Stoltenberg,Uruguay,USD 30,06-2023,176,Data Engineer,null
Skyla Billie Stokes,Turkey,USD 27,06-2023,147,Frontend,null
Jean Elliott Maggio,Peru,USD 22,06-2023,132,Backend,null
Darby Noah Okuneva,Turkey,USD 27,06-2023,136,Frontend,null
Hillard Alex Nader-Goyette,Peru,USD 24,06-2023,151,Frontend,null
Eleanora Greer Cormier,Brazil,USD 22,06-2023,168,Backend,null
Elouise Ellis Zboncak,Nigeria,USD 36,06-2023,156,Data Engineer,null
Jamal Reese Bayer,Turkey,USD 24,06-2023,106,Backend,null
Broderick Greer Lakin,Ivory Coast,USD 30,06-2023,142,Data Engineer,null
Alexanne Jaden Rosenbaum,Turkey,USD 33,06-2023,96,Data Engineer,null
Osborne Angel Brown-Feeney,Uganda,USD 21,06-2023,91,Frontend,null
Talon Addison McKenzie,Colombia,USD 20,06-2023,118,Frontend,null
Jacky Bowie Crooks,Sweden,USD 24,06-2023,166,Backend,null
Earnest Reese Cremin,Peru,USD 18,06-2023,107,Backend,null
Israel Cameron Schuppe,Brazil,USD 27,06-2023,113,Frontend,null
Elnora Nico Goodwin,Peru,USD 20,06-2023,144,Frontend,null
Theron Reign Harris,Peru,USD 25,06-2023,171,Frontend,null
Jennie Nico Gerlach,Georgia,USD 19,06-2023,126,DevOps,null
Jonathan Charlie VonRueden,Peru,USD 24,06-2023,119,Backend,null
Rupert Alex Waters,Ivory Coast,USD 31,06-2023,176,Data Engineer,null
Joseph August Durgan,Sweden,USD 28,06-2023,178,Data Engineer,null
Audra Jamie West,Zimbabwe,USD 25,06-2023,119,Frontend,null
Riley Charlie Greenholt-Price,Colombia,USD 15,06-2023,155,DevOps,null
Cristina Sage Blick,Uganda,USD 23,06-2023,162,Backend,null
Domenica Rowan McGlynn,Chile,USD 20,06-2023,138,DevOps,null
Harvey Addison Collins,Kenya,USD 23,06-2023,174,Frontend,null
Molly Billie Pfeffer,Brazil,USD 28,06-2023,122,Data Engineer,null
Juliana James Block,Brazil,USD 27,06-2023,136,Data Engineer,null
Jean Corey Dooley,Armenia,USD 30,06-2023,133,Data Engineer,null
Cecil Brooklyn Kuvalis,Nigeria,USD 20,06-2023,154,Backend,null
Woodrow Reign Kuvalis,Brazil,USD 24,06-2023,176,Frontend,null
Kiel Alex Sawayn,Armenia,USD 23,06-2023,145,Backend,null
Jamel Reign Medhurst,Uganda,USD 27,06-2023,132,Data Engineer,null
Halie Gray Oberbrunner,Uruguay,USD 34,06-2023,155,Data Engineer,null
Brionna Kyle Spinka,Sweden,USD 25,06-2023,170,Frontend,null
Syble Quinn Haag-Satterfield,Turkey,USD 28,06-2023,151,Data Engineer,null
Jaden Gray Tillman,Turkey,USD 20,06-2023,161,DevOps,null
Ceasar Arden Krajcik-Williamson,Brazil,USD 20,06-2023,109,Frontend,null
Pasquale Blake Dooley,Turkey,USD 24,06-2023,106,Frontend,null
Russel Noah Pfeffer,Nigeria,USD 33,06-2023,146,Data Engineer,null
Hailie Jordan Runte,Peru,USD 20,06-2023,125,Frontend,null
Sebastian Greer Veum,Sweden,USD 24,06-2023,90,Frontend,null
Doug Kennedy Funk-Fay,Argentina,USD 27,06-2023,137,Data Engineer,null
Hassan Avery Denesik,Sweden,USD 21,06-2023,155,Frontend,null
Cristina Jules Pacocha,Chile,USD 21,06-2023,172,Frontend,null
Jedediah Kennedy Abbott,Georgia,USD 30,06-2023,92,Data Engineer,null
Grover Quinn Kessler,Nigeria,USD 21,06-2023,153,Frontend,null
Ignatius Hayden Zulauf,Turkey,USD 24,06-2023,114,Backend,null
Della Angel Wyman,Brazil,USD 27,06-2023,155,Frontend,null
Vivien Blake Witting,Brazil,USD 27,06-2023,124,Frontend,null
Avery Taylor Dicki,Turkey,USD 20,06-2023,100,Backend,null
Hal Skyler Jacobi,Brazil,USD 21,06-2023,131,Frontend,null
